Year,DoY,season,daily_NEE,daily_GPP,daily_Reco,MaxT,MinT,Radn,rainfall,TairMean,pdi,mean_SoilC,grazeYN
2022,56,Winter,-0.1731114104,-0.3001973798,0.1270805087,-5.6,-11.7,3.27,9.1,-7.978125,0.38,-1.428279625,N
2022,57,Winter,-0.8372897414,-0.9319708332,0.0946838032,-3.3,-17.2,15.04,0.3,-8.053472222,0.35,-2.221797696,N
2022,58,Winter,-0.7744274326,-0.9079702006,0.1335376561,2.8,-8.3,13.29,0,-3.222569444,0.35,-1.977255246,N
2022,59,Winter,-0.8342672101999999,-0.8960612976,0.0617963735,-4.4,-12.8,15.42,0.8,-8.444097222,0.35,-1.923339583,N
2022,60,Winter,-0.2560566026,-0.3241702039,0.0681162981,1.7,-17.2,6.69,0.3,-6.023958334,0.35,-4.633258571,N
2022,61,Winter,0.02531129910000001,-0.05820747919999999,0.0835183922,2.8,-5.6,15.14,7.4,-0.840625,0.35,-1.977932992,N
2022,62,Winter,-0.3474562828,-0.4317982441,0.0843483326,0.6,-11.7,15.41,2.8,-3.278472222,0.35,-1.236378733,N
2022,63,Winter,-1.0372612828,-1.1146240751,0.0773534243,-1.1,-16.7,16.38,0,-7.050347222,0.35,-1.579564158,N
2022,64,Winter,-0.5659465707,-0.7037819459,0.1378353657,3.3,-10.6,14.48,0,-3.446527777,0.86,-1.761719763,N
2022,65,Winter,-0.6000229882,-1.061523715343,0.4615014049,15,2.2,8.88,2.5,7.94375,0.86,-1.603777317,N
2022,66,Winter,-0.8197456124,-1.4782827236,0.6585302215,13.9,2.8,3.19,4.8,7.878993056,0.86,0.787784846,N
2022,67,Winter,1.4772817963,0.8717350868,0.6055106274,8.9,-5,15.27,8.4,1.992013889,0.86,1.562000525,N
2022,68,Winter,0.03253085559999999,-0.552294164,0.5848249969,2.2,-5.6,4.82,0.8,-1.204513889,0.86,0.260724646,N
