Field_Code,Type,soil_texture_class,perC_P,perN_P,soilMass,panMass_P,fracPanMass_P,perC_M,perN_M,panMass_M,fracPanMass_M,gP,gM,gCarbonP,gCarbonM,mgCpergSoilP,mgCpergSoilM,propM
V204,Corn,loam,1.113393047,0.079080434,25.1,310.25,323.25,3.171284484,0.381783659,306.98,319.23,13,12.25,0.144741096,0.388482349,5.766577534,15.47738443,0.728554516
V205,Corn,loam,0.837457745,0.059771526,30.29,310.93,325.67,1.138354522,0.133510218,309.24,323.74,14.74,14.5,0.123441272,0.165061406,4.075314348,5.449369617,0.572131279
V206,Corn,loam,1.02457471,0.07714011,28.75,308.98,322.48,0.614223999,0.074353312,311.24,326.61,13.5,15.37,0.138317586,0.094406229,4.811046464,3.283694909,0.405657792
V301,Corn,loam,1.043864397,0.063405477,20.97,308.83,316.92,0.913548478,0.104824328,306.47,318.78,8.09,12.31,0.08444863,0.112457818,4.027116343,5.36279531,11.53943531
V302,Corn,loam,1.103092277,0.074450502,27.08,307.45,319.17,2.69506828,0.331196557,305.99,321.45,11.72,15.46,0.129282415,0.416657556,4.774092129,15.38617268,0.763192985
V303,Corn,loam,0.942642244,0.057727265,24.97,307.5,317.58,0.888567472,0.104401965,309.03,323.79,10.08,14.76,0.095018338,0.131152559,3.805299888,5.252405241,0.57988256
V304,Corn,loam,0.937183872,0.064410112,29.02,306.37,318.97,1.721416837,0.208905778,307.04,323.38,12.6,16.34,0.118085168,0.281279511,4.069096067,9.692608931,0.704317447
V305,Corn,loam,0.70599505,0.041660737,14.37,309.15,314.91,2.764560677,0.317129251,310.71,319.47,5.76,8.76,0.040665315,0.242175515,2.829875776,16.85285423,0.856225444
V306,Corn,loam,0.934147763,0.067482924,27.2,309.48,321.68,1.829882607,0.20575915,309.44,324.7,12.2,15.26,0.113966027,0.279240086,4.189927466,10.26617963,0.710162118
V307,Corn,clay loam,1.668298171,0.101345246,21.98,309.27,316.39,3.072599157,0.330935995,308.76,323.94,7.12,15.18,0.11878283,0.466420552,5.404132383,21.2202253,0.797022995
V401,Corn,clay loam,1.520008188,0.090644968,18.8,308.27,315.25,2.114724806,0.225658007,310.79,322.1,6.98,11.31,0.106096572,0.239175376,5.643434655,12.72209444,0.692715923
V402,Corn,clay loam,0.977251864,0.052481151,27.27,309.19,316.79,2.325509805,0.251056895,305.74,325.58,7.6,19.84,0.074271142,0.461381145,2.723547549,16.91900056,0.861344489
V403,Corn,loam,0.77279474,0.043585408,22.38,310.93,317.3,2.077050604,0.217435898,311.28,327.04,6.37,15.76,0.049227025,0.327343175,2.19959897,14.62659407,0.869275304
V404,Corn,loam,0.855053884,0.05446638,21.99,310.83,320.78,1.294051157,0.14199058,307.17,318.98,9.95,11.81,0.085077861,0.152827442,3.868934127,6.94986092,0.642387705
V405,Corn,loam,0.826940132,0.056471144,22.11,310.38,318.08,1.573108846,0.175288484,309.41,323.82,7.7,14.41,0.06367439,0.226684985,2.879891007,10.25259994,0.780704893
V406,Corn,loam,0.962024,0.073736959,20.68,308.27,315.81,1.201800679,0.134689137,309.46,322.37,7.54,12.91,0.07253661,0.155152468,3.507572998,7.502537121,0.681422533
VE1,Pasture,loam,2.091382961,0.134975147,28.97,308.72,328.43,2.095798792,0.180406565,307.5,316.98,19.71,9.48,0.412211582,0.198681725,14.22891203,6.85818866,12.53943531
VE10,Pasture,silty clay,7.760991095,0.496265889,31.33,308.65,311.33,1.440430522,0.186805632,309.48,337.29,2.68,27.81,0.207994561,0.400583728,6.638830557,12.78594728,0.658228752
VE2,Pasture,silt loam,1.564957079,0.090950378,24.36,307.97,325.24,2.508150565,0.173239146,306.64,313.8,17.27,7.16,0.270268088,0.17958358,11.09474908,7.372068163,0.399206212
VE3,Corn,silt loam,0.989491766,0.047224033,23.65,306.93,315.39,2.215788743,0.213538435,311.18,326.56,8.46,15.38,0.083711003,0.340788309,3.539577309,14.40965364,0.802800615
VE4,Pasture,loam,1.549126674,0.102551975,22.34,311.18,320.28,3.022983581,0.282839287,309.53,322.89,9.1,13.36,0.140970527,0.403870606,6.310229515,18.07836197,0.741263061
VE5,Corn,loam,1.83974218,0.088873675,21.05,308.63,317.25,3.896052562,0.308438787,306.95,319.64,8.62,12.69,0.158585776,0.49440907,7.533766077,23.48736675,0.757140846
VE6,Corn,sandy loam,0.545650065,0.032049998,30.58,306.63,324.9,2.317579351,0.232962621,307.48,319.93,18.27,12.45,0.099690267,0.288538629,3.259982565,9.435533983,0.743217808
VE7,Pasture,sandy loam,1.529437499,0.078885176,15.92,309.47,320.1,5.348254126,0.488063976,309.44,314.82,10.63,5.38,0.162579206,0.287736072,10.21226169,18.07387387,0.638965822
VE8,Hay,loam,2.952046956,0.211086409,15.93,308.78,317.98,4.843856394,0.435621227,308.72,315.53,9.2,6.81,0.27158832,0.32986662,17.04885875,20.70725803,0.548447769
VE9,Hay,silty clay,7.519801267,0.487367647,25.5,310.23,313.12,2.524594733,0.270415112,310.68,333.5,2.89,22.82,0.217322257,0.576112518,8.522441436,22.59264777,0.726099405
WR1,Corn,sandy loam,1.438870168,0.076903157,26,309.78,328.18,5.427024202,0.474668556,305.86,312.9,18.4,7.04,0.264752111,0.382062504,10.1827735,14.69471169,0.590683165
WR2,Veg,loam,1.180212464,0.068291829,27.57,309.51,325.15,2.777545268,0.252155812,306.54,318.65,15.64,12.11,0.184585229,0.336360732,6.695147964,12.20024418,0.645672981
WR3,Veg,loam,1.074296479,0.060566361,22.5,306.99,317.23,2.063393902,0.184134302,310.53,322.77,10.24,12.24,0.110007959,0.252559414,4.889242642,11.22486283,0.696586159
WR4,Corn,sandy loam,1.120269351,0.067532108,23.49,311.2,327.33,6.195432689,0.566549092,310.6,317.38,16.13,6.78,0.180699446,0.420050336,7.692611593,17.8820918,13.53943531
WR5,Hay,loam,1.098901893,0.056070667,20.1195,308.56,318.8,4.116565792,0.409453224,309.56,319.44,10.24,9.88,0.112527554,0.4067167,5.592959758,20.21505009,0.783285895
WR6,Pasture,loam,1.04571437,0.059454652,24.41,310.53,324.31,4.660960425,0.430788001,308.42,319.33,13.78,10.91,0.14409944,0.508510782,5.903295376,20.8320681,0.779195245
WR7,Hay,loam,1.530887381,0.101636751,25.32,306.7,322.7,4.991394443,0.464809153,305.99,315.35,16,9.36,0.244941981,0.46719452,9.673853908,18.45160031,0.656046305
WR8,Hay,loam,3.120628182,0.207523486,22.92,310.82,324.56,6.860480956,0.585074146,311.24,320.35,13.74,9.11,0.428774312,0.624989815,18.70743072,27.26831654,0.593102193
MC10,Hay,loam,1.359782564,0.094935666,19.87,309.5,317.93,4.173894783,0.390691006,308.28,319.95,8.43,11.67,0.11462967,0.487093521,5.76898189,24.51401717,0.80949767
Z1,Pasture,,5.5,0.43,18.68,307.5,314.83,4.89,0.48,309.48,321.24,7.33,11.76,0.40315,0.575064,21.58190578,30.78501071,0.587871366
Z2,Pasture,,5.23,0.37,18.33,309.44,314.74,2.77,0.28,308.92,322.35,5.3,13.43,0.27719,0.372011,15.12220404,20.29519913,0.573029
