Field_Code,Type,OM30,BD30,MTC_ha30,CO2e_ha30,DateSampled,DateReceived,Tillage_1to4,Crop2Ago,CropLastYr,CropThisYr,soil_texture_class,soil_texture_sand,soil_texture_silt,soil_texture_clay,water_capacity,water_capacity_rating,pred_water_capacity,pred_water_capacity_rating,surface_hardness,surface_hardness_rating,subsurface_hardness,subsurface_hardness_rating,aggregate_stability,aggregate_stability_rating,organic_matter,organic_matter_rating,soc,total_c,total_n,ace_soil_protein_index,ace_soil_protein_index_rating,pred_soil_protein,pred_soil_protein_rating,respiration,respiration_rating,active_carbon,active_carbon_rating,ph,ph_rating,p,p_rating,k,k_rating,mg,fe,mn,zn,minor_elements_rating,overall score,Mod. Morgan Al. ppm,Mod. Morgan Ca. ppm,Mod. Morgan Cu. ppm,Mod. Morgan S. ppm,Mod. Morgan B. ppm,CN_ratio
NW12T,Corn,4.23,NA,NA,NA,4/26/2021,5/13/2021,2,NA,NA,COS,silty clay loam,10.2817,62.20428,27.51403,,,0.291169,97.82032,NA,NA,NA,NA,21.76513,24.30353,4.83,82.17937,,3.001,0.286,,,7.962955,75.41639,0.818567,76.68636,836.8862,90.48058,6.9,100,11,100,167.4,100,208.5,1.5,6.7,0.7,100,84.68866,9.65,2270.9,0.12,10.94,0.35,10.49300699
LO16,Hay,3.53,1.351584927,71.56642188,262.4102136,6/24/2021,7/6/2021,1,NA,NA,HAY,sandy loam,59.03471,29.95465,11.01064,,,0.207659,86.63742,NA,NA,NA,NA,86.87087,99.90452,3.244832,94.01508,2.243772,2.272,0.186,,,7.537701,51.56916,0.648328,56.39898,587.9417,75.48112,6.7,100,25,100,342.2,100,134.6,10.9,4.2,4.9,100,86.40063,33.84,1608.8,0.36,21.92,0.53,12.21505376
LO17,Hay,2.35,1.401383978,49.39878522,181.1288792,6/25/2021,7/6/2021,2,NA,NA,HAY,sandy loam,73.06972,19.31645,7.613832,,,0.168014,70.64531,NA,NA,NA,NA,67.92307,97.98802,2.977728,88.91763,2.330097,2.351,0.187,,,7.836307,54.96032,0.513555,38.66161,539.1054,67.20305,6.83,100,18.1,100,99.7,100,192.4,6.7,1.4,1.2,100,81.83759,18.77,897.3,0.25,2.39,0.23,12.57219251
LO18,Corn,2.89,1.437403681,62.31144957,228.4753151,6/25/2021,7/6/2021,2,NA,NA,COG,sandy loam,59.07056,29.20912,11.72032,,,0.180111,76.29665,NA,NA,NA,NA,38.38267,65.91515,3.387235,95.85448,2.229059,2.251,0.2,,,8.368656,60.90174,0.584488,47.93814,703.7018,89.76918,6.51,100,24.3,100,187.5,100,206,1.9,3.1,2,100,83.66753,7.77,1037.3,1.96,6.95,0.25,11.255
LO19,Corn,2.39,1.355271508,48.58648356,178.1504397,6/24/2021,7/6/2021,2,NA,NA,COG,sandy loam,61.4182,26.33242,12.24939,,,0.196108,82.75191,NA,NA,NA,NA,48.62864,83.63012,2.465591,71.97128,,1.786,0.156,,,7.144221,47.08713,0.648328,56.39898,631.3517,81.77327,6.2,96.54818,32.6,100,385.4,100,183.9,8.6,4.4,4.6,100,82.01609,31.15,1863.4,0.25,24.39,0.48,11.44871795
LO20,Corn,2.06,1.463874535,45.23372313,165.8569848,6/30/2021,7/6/2021,,NA,NA,COG,sandy loam,65.31384,25.80658,8.879582,,,0.190559,80.6516,NA,NA,NA,NA,45.21467,78.51497,2.847768,85.53617,1.876933,1.991,0.165,,,7.458363,50.66521,0.82566,77.4035,723.598,91.43424,7.11,100,39.9,100,285.3,100,188.1,4.1,4.4,2.4,100,86.42057,9.99,2076.2,1.7,10.35,0.42,12.06666667
LO21,Corn,3.36,1.477956063,74.48898558,273.1262804,7/7/2021,7/13/2021,,NA,NA,COS,loam,40.01275,41.17676,18.81049,,,0.235356,87.68391,NA,NA,NA,NA,12.0095,14.57063,3.586419,74.26627,,2.392,0.212,,,8.420847,71.97419,0.886663,83.03483,737.9509,90.08171,6.1,91.3659,8.4,100,171.9,100,298.3,4.2,8.8,1.3,100,81.29774,19.35,1217.3,1.12,8.52,0.27,11.28301887
LO22,Corn,2.98,1.556725,69.5856075,255.1472275,8/5/2021,8/9/2021,2,CORN,CORN,CORN,loam,47.78826,33.0505,19.16124,,,0.18864,67.02537,NA,NA,NA,NA,19.97815,27.01614,2.764737,39.68906,2.021314,2.101,0.173,,,6.405131,48.85327,0.645491,56.02626,740.0511,90.2783,7.51,90.62786,24.3,100,78.8,100,181.1,2.1,3.3,0.8,100,71.95163,8.14,2142.3,0.74,5.21,0.5,12.14450867
LO23,Corn,2.23,NA,NA,NA,8/5/2021,8/16/2021,2,NA,NA,COS,loam,38.71487,43.6727,17.61243,,,0.199898,73.03305,NA,NA,NA,NA,16.56586,21.13063,2.696664,36.80435,1.868,1.868,0.164,,,6.285848,47.4129,0.546184,42.88174,725.5839,88.86485,6.89,100,18.5,100,146,100,226.8,1.8,2,1.1,100,71.01275,10.96,1575.2,1.1,5.83,0.39,11.3902439
LO24,Corn,3.44,NA,NA,NA,8/9/2021,8/16/2021,,NA,NA,COS,sandy loam,69.9411,19.80568,10.25322,,,0.19757,83.28002,NA,NA,NA,NA,52.75838,88.66299,4.050818,99.48192,3.181124,3.239,0.296,,,13.33945,95.51504,0.695144,62.44334,998.6534,99.69584,6.97,100,80.2,100,380,100,218,2.9,1.9,3.3,100,92.90792,7.69,2274.4,0.86,9.77,0.53,10.94256757
